# Static lookup committed per brief s5.3/s6. Provenance: ITU-T E.212 allocations
# via the public mcc-mnc-table compilation (github.com/musalbas/mcc-mnc-table,
# scraped from mcc-mnc.com), fetched 2026-07-04. Factual allocation data.
# Where several networks share an MCC+MNC (MVNO aggregation codes), names are
# joined with ' / ' (first three kept).
mcc,mnc,operator_name
202,1,Cosmote
202,2,Cosmote
202,3,OTE
202,4,OSE
202,5,Vodafone
202,7,AMD Telecom
202,9,Wind
202,10,Wind
202,12,Yuboto
202,14,CyTa Mobile
202,15,BWS
202,16,Inter Telecom
202,299,AMD Telecom / Apifon / Interconnect
202,999,Fix Line
204,0,Intovoice
204,2,T-Mobile / Tele2
204,3,Voiceworks Mobile
204,4,Vodafone
204,5,ElephantTalk
204,6,Vectone Mobile
204,7,Move / Teleena
204,8,KPN
204,9,Lycamobile
204,10,KPN
204,12,KPN / KPN/Telfort
204,14,6GMOBILE BV
204,15,Ziggo
204,16,T-Mobile
204,17,Intercity Mobile Communications BV
204,18,Ziggo Services
204,20,T-Mobile / T-mobile/former Orange
204,21,ProRail
204,23,KORE
204,24,Private Mobility
204,26,SpeakUp
204,27,L-mobi
204,28,Lancelot
204,29,Tismi
204,30,ASPIDER Solutions
204,33,Truphone
204,63,MessageBird
204,68,Unify Mobile
204,69,KPN
204,98,Lancelot / T-Mobile
204,299,88 mobile / AGMS / Belcentrale
204,999,Fix Line
206,0,Proximus
206,1,Proximus
206,2,Infrabel
206,4,Proximus
206,5,Base / Telenet Mobile
206,6,Lycamobile
206,7,Vectone Mobile
206,8,VOOmobile
206,10,Mobistar / Orange
206,20,Base
206,23,Dust Mobile
206,25,Dense Air
206,28,BICS
206,30,Mobile Vikings
206,33,Ericsson
206,34,onoff
206,99,Lancelot
206,299,FEBO / GianCom / interactive digital media / IDM
206,999,Fix Line
208,0,Tel/Tel
208,1,Orange
208,2,Orange
208,3,MobiquiThings
208,4,Axialys
208,5,GlobalStar
208,6,GlobalStar
208,7,GlobalStar
208,8,SFR
208,9,SFR
208,10,SFR
208,11,SFR
208,12,Truphone
208,13,SFR
208,14,Free Mobile
208,15,Free Mobile
208,16,Free Mobile
208,17,Legos
208,20,Bouygues Telecom
208,21,Bouygues Telecom
208,22,Transatel
208,23,Hub One
208,24,MobiquiThings
208,25,Lycamobile
208,26,NRJ
208,27,Coriolis
208,28,Airmob
208,29,Orange
208,30,Syma Mobile
208,31,Vectone Mobile
208,32,Orange
208,34,Cellhire
208,35,Free Mobile
208,36,Free Mobile
208,37,IP Directions
208,38,Lebara
208,39,Networth Telecom
208,88,Bouygues Telecom
208,89,Hub One
208,91,Orange
208,92,IP Directions
208,94,Halys
208,299,Add-On Multimedia / Afone Mobile / Alphalink
208,999,Fix Line
212,1,Monaco Telecom
212,10,Monaco Telecom
213,3,Andorra Telecom / Mobiland
214,1,Vodafone
214,2,Alta Tecnologia en Comunicacions
214,3,Orange
214,4,Yoigo
214,5,Movistar
214,6,Vodafone
214,7,Movistar
214,8,Euskaltel Movil
214,9,Orange
214,10,Zinnia
214,11,Orange
214,12,Venus Movil
214,14,Avatel Movil
214,15,BT Espana  SAU
214,16,mobil R
214,17,mobil R / R Cable y Telec. Galicia SA
214,18,Cableuropa SAU (ONO)
214,19,Simyo
214,20,fonYou Wireless SL
214,21,Jazz Telecom SAU / Orange
214,22,Digi.Mobil
214,23,Yoigo
214,25,Lycamobile
214,26,Lleida
214,27,Truphone
214,29,Yoigo
214,32,ION Mobile
214,33,Yoigo
214,34,ION MOBILE
214,35,SUMA movil
214,36,Alai
214,37,Vodafone
214,38,Movistar
214,299,ACN / Adamo Telecom / Aurea
214,999,Fix Line
216,1,Telenor
216,2,MVM NET
216,3,Digi
216,30,Telekom
216,70,Vodafone
216,71,UPC Magyarorszag Kft. / Vodafone
216,299,Antenna / Invitech / Mobil4
216,999,Fix line
218,3,Eronet
218,5,m:tel
218,90,BH Mobile
219,1,T-Mobile
219,2,Telemach / Tele2
219,10,A1 / VIP
219,12,TELE FOCUS
219,999,Fix Line
220,1,Telenor
220,2,Telenor
220,3,MTS
220,5,VIP
220,11,Globaltel
220,20,VIP
220,299,Failed Calls
221,1,Vala
221,2,IPKO
221,3,MTS
221,6,Dardafon.Net LLC
221,7,D3 mobile
221,299,MTS
222,0,Premium Numbers / VOIP Line
222,1,TIM
222,2,Elsacom
222,6,Vodafone
222,7,Noverca Italia
222,8,Fastweb
222,10,Vodafone
222,30,RFI
222,33,Poste Mobile
222,34,BT mobile
222,35,Lycamobile
222,36,Digi
222,37,WindTre / Hi3G
222,39,SMS.it / LINK Mobility
222,40,Agile Telecom
222,42,Enel
222,43,Telecom Italia Mobile
222,44,Mundio
222,48,Telecom Italia Mobile
222,49,Vianova Mobile
222,50,Iliad
222,51,ho.
222,53,CoopVoce
222,54,Plintron
222,56,spusu
222,58,rdcom
222,77,IPSE 2000
222,88,WindTre / WIND
222,99,WindTre / Hi3G
222,299,A-Tono / Esendex / Compatel
222,999,Fix Line
225,299,Failed Calls
226,1,Vodafone
226,2,Romtelecom SA / Telekom
226,3,Telekom
226,4,Telekom Romania
226,5,Digi Mobil
226,6,Telekom Romania
226,10,Orange
226,11,Enigma Systems
226,16,Lycamobile
226,299,Iristel
228,1,Swisscom
228,2,Sunrise
228,3,Salt Mobile
228,5,Comfone
228,6,SBB
228,7,Sunrise
228,8,Sunrise
228,9,Comfone
228,12,Sunrise
228,51,relario
228,52,Mundio Mobile AG
228,53,Sunrise / upc cablecom GmbH
228,54,Lycamobile
228,58,Beeone
228,59,Vectone Mobile
228,60,Sunrise
228,62,Telecom26
228,65,Nexphone
228,66,Inovia
228,69,MTEL
228,70,Tismi
228,999,Fix Line
230,1,T-Mobile
230,2,O2
230,3,Vodafone
230,4,Nordic Telecom
230,5,PODA
230,7,T-Mobile
230,8,Compatel
230,9,Uniphone
230,98,SZDC
230,99,Vodafone
230,299,+4U Mobile / 3ton / CEZ
230,999,Fix Line
231,1,Orange
231,2,Telekom
231,3,Swan / 4ka
231,4,Telekom
231,5,Orange
231,6,O2
231,7,Orange
231,8,Uniphone
231,15,Orange
231,50,Telekom
231,99,ZSR
231,299,Vonage
232,1,A1 Telekom
232,2,A1 Telekom
232,3,T-Mobile / Magenta
232,4,T-Mobile / Magenta
232,5,Hutchinson Drei
232,6,Hutchison Drei / 3
232,7,T-Mobile / Magenta
